Scottish Parliament elections 2016 - Results- Constituencies,,,GENERAL,,,,,,VOTES CAST,,,,,,,,VOTE SHARE %,,,,,,,,,
ONS Code,Constituency,Region,Electorate,Total ballots at the count,Total valid votes cast,Rejected ballots,Ballot Box Turnout (%),Rejected ballots (%),CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,Win,Second
S16000139,Renfrewshire North & West,West Scotland," 50,555 "," 30,870 "," 30,807 ", 63 ,61.1,0.2," 7,345 "," 7,244 ", 888 ," 14,718 ", 198 , 414 , -   , -   ,23.8,23.5,2.9,47.8,0.6,1.3,0.0,0.0,SNP,Con
S16000140,Renfrewshire South,West Scotland," 49,422 "," 29,810 "," 29,681 ", 129 ,60.3,0.4," 4,752 "," 9,864 ", 793 ," 14,272 ", -   , -   , -   , -   ,16.0,33.2,2.7,48.1,0.0,0.0,0.0,0.0,SNP,Lab
S16000141,Rutherglen,Glasgow," 60,707 "," 33,087 "," 32,952 ", 135 ,54.5,0.4," 3,718 "," 11,479 "," 2,533 "," 15,222 ", -   , -   , -   , -   ,11.3,34.8,7.7,46.2,0.0,0.0,0.0,0.0,SNP,Lab
S16000142,Shetland Islands,Highlands and Islands," 17,784 "," 11,087 "," 11,041 ", 46 ,62.3,0.4, 405 , 651 ," 7,440 "," 2,545 ", -   , -   , -   , -   ,3.7,5.9,67.4,23.1,0.0,0.0,0.0,0.0,LD,SNP
S16000143,"Skye, Lochaber & Badenoch",Highlands and Islands," 59,537 "," 36,644 "," 36,505 ", 139 ,61.5,0.4," 5,887 "," 3,821 "," 8,319 "," 17,362 "," 1,116 ", -   , -   , -   ,16.1,10.5,22.8,47.6,3.1,0.0,0.0,0.0,SNP,LD
S16000144,Stirling,Mid Scotland and Fife," 55,785 "," 34,318 "," 34,189 ", 129 ,61.5,0.4," 9,585 "," 6,885 "," 1,416 "," 16,303 ", -   , -   , -   , -   ,28.0,20.1,4.1,47.7,0.0,0.0,0.0,0.0,SNP,Con
S16000145,Strathkelvin & Bearsden,West Scotland," 62,607 "," 39,361 "," 39,188 ", 173 ,62.9,0.4," 8,960 "," 8,288 "," 4,880 "," 17,060 ", -   , -   , -   , -   ,22.9,21.2,12.5,43.5,0.0,0.0,0.0,0.0,SNP,Con
S16000146,Uddingston & Bellshill,Central," 57,565 "," 29,716 "," 29,543 ", 173 ,51.6,0.6," 4,693 "," 9,615 ", 811 ," 14,424 ", -   , -   , -   , -   ,15.9,32.6,2.8,48.8,0.0,0.0,0.0,0.0,SNP,Lab
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL SCOTLAND," 4,098,462 "," 2,288,433 "," 2,279,154 "," 9,277 ",55.8,0.4," 501,844 "," 514,261 "," 178,238 "," 1,059,898 "," 5,467 "," 3,540 "," 13,172 "," 2,734 ",21.1,22.5,8.5,46.6,0.2,0.2,0.6,0.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
