Scottish Parliament elections 2016 - Results- Regional list,,,GENERAL,,,,,,VOTES CAST,,,,,,,,,,,,,,,,,VOTE SHARE %,,,,,,,,,,,,
ONS Code,Constituency,Region,Electorate,Total ballots at the count,Total valid votes cast,Rejected ballots,Ballot Box Turnout (%),Rejected ballot (%),CON,LAB,LIB,SNP,SGRN,UKIP,IND,SOL,RISE,CHP,WEP,SLBR,ABBUP,COMP,NF,ANWP,Others,CON,LAB,LIB,SNP,SGRN,UKIP,IND,Others,,,,,
S16000119,Glasgow Pollok,Glasgow,"61,350","28,133",28064,69,45.86,0.25,"2,545","7,237",375,"13,902","1,363",582,25,915,185,212,158,0,341,0,0,224,0,9.1,25.8,1.3,49.5,4.9,2.1,0.1,0.0,,,,,
S16000120,Glasgow Provan,Glasgow,"56,169","24,271",24210,61,43.21,0.25,"1,975","6,534",253,"11,890","1,624",574,47,358,205,113,148,0,301,0,0,188,0,8.2,27.0,1.1,49.1,6.7,2.4,0.2,0.0,,,,,
S16000121,Glasgow Shettleston,Glasgow,"58,021","25,537",25489,48,44.01,0.19,"3,098","6,270",392,"12,160","1,436",716,28,399,213,146,149,0,318,0,0,164,0,12.2,24.6,1.5,47.7,5.6,2.8,0.1,0.0,,,,,
S16000122,Glasgow Southside,Glasgow,"52,141","25,222",25154,68,48.37,0.27,"2,935","5,002",516,"11,393","3,444",420,15,335,387,136,209,0,190,0,0,172,0,11.7,19.9,2.1,45.3,13.7,1.7,0.1,0.0,,,,,
S16000123,Greenock & Inverclyde,West Scotland,"55,172","31,881",31818,63,57.78,0.20,"4,731","7,822","1,057","15,677","1,209",561,0,338,118,259,0,46,0,0,0,0,0,14.9,24.6,3.3,49.3,3.8,1.8,0.0,0.0,,,,,
S16000124,"Hamilton, Larkhall & Stonehouse",Central Scotland,"57,662","29,023",28965,58,50.33,0.20,"5,519","7,707",575,"12,468","1,322",673,42,256,133,270,0,0,0,0,0,0,0,19.1,26.6,2.0,43.1,4.6,2.3,0.2,0.0,,,,,
S16000125,Inverness & Nairn,Highlands and Islands,"66,619","38,579",38516,63,57.91,0.16,"8,371","5,162","3,688","16,200","3,146",916,174,142,171,546,0,0,0,0,0,0,0,21.7,13.4,9.6,42.1,8.2,2.4,0.5,0.0,,,,,
S16000126,Kilmarnock & Irvine Valley,South Scotand,"62,620","34,512",34463,49,55.11,0.14,"6,799","7,209",710,"16,952","1,522",706,0,251,193,0,0,0,0,0,0,0,121,19.7,20.9,2.1,49.2,4.4,2.1,0.0,0.4,,,,,
S16000127,Kirkcaldy,Mid Scotland and Fife,"59,533","31,274",31222,52,52.53,0.17,"4,914","7,822","1,001","14,934","1,479",682,0,194,115,0,0,81,0,0,0,0,0,15.7,25.1,3.2,47.8,4.7,2.2,0.0,0.0,,,,,
S16000128,Linlithgow,Lothian,"71,434","38,649",38614,35,54.10,0.09,"7,931","8,905",961,"16,987","2,179","1,001",0,248,133,0,269,0,0,0,0,0,0,20.5,23.1,2.5,44.0,5.6,2.6,0.0,0.0,,,,,
S16000129,Mid Fife & Glenrothes,Mid Scotland and Fife,"53,241","28,667",28621,46,53.84,0.16,"4,718","6,365","1,030","14,495","1,140",603,0,121,91,0,0,58,0,0,0,0,0,16.5,22.2,3.6,50.6,4.0,2.1,0.0,0.0,,,,,
S16000130,Midlothian North & Musselburgh,Lothian,"63,360","34,865",34812,53,55.03,0.15,"6,425","9,455",951,"14,208","2,530",718,0,171,104,0,250,0,0,0,0,0,0,18.5,27.2,2.7,40.8,7.3,2.1,0.0,0.0,,,,,
S16000131,"Midlothian South, Tweeddale & Lauderdale",South Scotand,"60,203","35,751",35697,54,59.38,0.15,"10,230","5,005","2,912","14,162","2,426",602,0,121,114,0,0,0,0,0,0,0,125,28.7,14.0,8.2,39.7,6.8,1.7,0.0,0.4,,,,,
S16000132,Moray,Highlands and Islands,"61,969","33,548",33486,62,54.14,0.18,"11,571","3,376","1,043","13,809","2,053","1,006",164,136,105,223,0,0,0,0,0,0,0,34.6,10.1,3.1,41.2,6.1,3.0,0.5,0.0,,,,,
S16000133,Motherwell & Wishaw,Central Scotland,"57,062","29,271",29233,38,51.30,0.13,"4,169","7,751",516,"13,952","1,080",698,48,332,389,298,0,0,0,0,0,0,0,14.3,26.5,1.8,47.7,3.7,2.4,0.2,0.0,,,,,
S16000110,Nah h-Eilanan an Iar,Highlands and Islands,"21,695","13,272",13233,39,61.18,0.29,"1,522","3,061",280,"6,024",624,260,113,57,54,"1,238",0,0,0,0,0,0,0,11.5,23.1,2.1,45.5,4.7,2.0,0.9,0.0,,,,,
S16000134,North East Fife,Mid Scotland and Fife,"54,052","34,179",34131,48,63.23,0.14,"8,260","2,427","9,054","10,860","2,665",553,0,71,102,0,0,139,0,0,0,0,0,24.2,7.1,26.5,31.8,7.8,1.6,0.0,0.0,,,,,
S16000135,Orkney Islands,Highlands and Islands,"16,997","10,556",10537,19,62.11,0.18,"1,193",506,"3,515","2,491",696,255,"1,775",30,27,49,0,0,0,0,0,0,0,11.3,4.8,33.4,23.6,6.6,2.4,16.9,0.0,,,,,
S16000136,Paisley,West Scotland,"51,673","29,616",29573,43,57.31,0.15,"4,188","8,005",954,"13,423","1,722",513,0,319,159,234,0,56,0,0,0,0,0,14.2,27.1,3.2,45.4,5.8,1.7,0.0,0.0,,,,,
